,brand,cap,flash,name,price,price_per_gb,read,warranty,write,cp
0,金士頓,240,TLC,金士頓 A400 240G,2600,10.833333333333334,500,三,450,10.833333333333334
1,金士頓,480,TLC,金士頓 A400 480G,4588,9.558333333333334,500,三,450,9.558333333333334
2,金士頓SSDNow,240,,"金士頓SSDNow UV400 240G雞年限定版(含升級套件組)【三年保】, $2988",2988,12.45,0,三,0,12.45
3,金士頓,120,TLC,金士頓 UV400 120G,1650,13.75,550,三,350,13.75
4,金士頓,240,TLC,金士頓 UV400 240G,2630,10.958333333333334,550,三,490,10.958333333333334
5,金士頓,240,TLC,金士頓 UV400 240G,2580,10.75,550,三,490,10.75
6,金士頓,480,TLC,金士頓 UV400 480G,4288,8.933333333333334,550,三,500,8.933333333333334
7,金士頓,960,TLC,金士頓 UV400 960G,9100,9.479166666666666,550,三,500,9.479166666666666
8,金士頓,240,MLC,金士頓 V300 240G,2650,11.041666666666666,450,三,450,11.041666666666666
9,金士頓,120,MLC,金士頓 HyperX FURY 120G,1750,14.583333333333334,500,三,500,14.583333333333334
10,UMAX,240,TLC,UMAX S300 240G,2299,9.579166666666667,540,三,490,9.579166666666667
11,UMAX,256,,UMAX S350 256GB ,2588,10.109375,560,三,500,10.109375
12,SanDisk,128,TLC,SanDisk X400 128G,1770,13.828125,540,五,340,13.828125
13,SanDisk,256,TLC,SanDisk X400 256G,2990,11.6796875,540,五,520,11.6796875
14,SanDisk,512,TLC,SanDisk X400 512G,5199,10.154296875,540,五,520,10.154296875
15,SanDisk,1000,TLC,SanDisk X400 1TB,10150,10.15,540,五,520,10.15
16,Liteon,240,TLC,Liteon MUIII 240G,2250,9.375,555,三,470,9.375
17,Liteon,120,MLC,Liteon MUIII Rock 120G,1690,14.083333333333334,530,三,290,14.083333333333334
18,Liteon,240,MLC,Liteon MUIII Rock 240G,2750,11.458333333333334,530,三,420,11.458333333333334
19,Intel,150,MLC,Intel DC S3520系列 150G,2999,19.993333333333332,450,五,380,19.993333333333332
20,Intel,480,TLC,Intel 540s系列 480G,5500,11.458333333333334,560,五,480,11.458333333333334
21,威剛,128,TLC,威剛 Ultimate SU800 128G,1580,12.34375,560,三,520,12.34375
22,威剛,256,TLC,威剛 Ultimate SU800 256G,2750,10.7421875,560,三,520,10.7421875
23,威剛,512,TLC,威剛 Ultimate SU800 512G,4899,9.568359375,560,三,520,9.568359375
24,創見,128,TLC,創見 230S系列 128G,1749,13.6640625,560,三,520,13.6640625
25,創見,128,TLC,創見 230S系列 128G,1550,12.109375,560,三,520,12.109375
26,創見,256,TLC,創見 230S系列 256G,2849,11.12890625,560,三,520,11.12890625
27,創見,256,TLC,創見 230S系列 256G,2688,10.5,560,三,520,10.5
28,創見,512,TLC,創見 230S系列 512G,5299,10.349609375,560,三,520,10.349609375
29,創見,512,TLC,創見 230S系列 512G,4888,9.546875,560,三,520,9.546875
30,創見,128,MLC,創見 340K系列 128G,1680,13.125,520,三,150,13.125
31,創見,128,MLC,創見 340K系列 128G,1599,12.4921875,520,三,150,12.4921875
32,創見,256,MLC,創見 340K系列 256G,2900,11.328125,520,三,290,11.328125
33,創見,128,MLC,創見 370S系列 128G,1850,14.453125,570,三,170,14.453125
34,創見,256,MLC,創見 370S系列 256G,3570,13.9453125,570,三,310,13.9453125
35,創見,512,MLC,創見 370S系列 512G,5888,11.5,570,,470,11.5
36,創見,1000,MLC,創見 370S系列 1TB,12600,12.6,560,三,460,12.6
37,Toshiba,240,TLC,Toshiba A100 240G,2650,11.041666666666666,550,三,480,11.041666666666666
38,美光,275,TLC,美光 MX300 275G,2750,10.0,530,三,500,10.0
39,美光,525,TLC,美光 MX300 525G,4399,8.379047619047618,530,三,510,8.379047619047618
40,美光,525,TLC,美光 MX300 525G,4250,8.095238095238095,530,三,510,8.095238095238095
41,美光,1050,TLC,美光 MX300 1050G,8950,8.523809523809524,530,三,510,8.523809523809524
42,美光,1050,TLC,美光 MX300 1050G,8500,8.095238095238095,530,三,510,8.095238095238095
43,美光,2050,TLC,美光 MX300 2050G,18400,8.975609756097562,530,三,510,8.975609756097562
44,WD,120,TLC,WD Green 120G(綠標),1499,12.491666666666667,540,三,430,12.491666666666667
45,WD,250,TLC,WD Blue 250G(藍標),2499,9.996,540,三,500,9.996
46,WD,500,TLC,WD Blue 500G(藍標),4650,9.3,545,三,525,9.3
47,WD,1000,TLC,WD Blue 1TB(藍標),8800,8.8,545,三,525,8.8
